,Round,Day,Date,Time,Venue,Result,GF,GA,Opponent,Attendance,Captain,Formation,Referee,event_id,Manager,League Position ,squadnumber,team_name,player_id,rating,minutes_played,shotstotal,shotson,offsides,gconceded,gassists,gtotal,ptotal,pkey,paccuracy,ttotal,tblocks,tinterc,dtotal,dwon,dattempts,dsuccess,dpast,fdrawn,fcommit,red,yellow,penaltysuccess,player_name,Game,Player Position
23,Matchweek 28,Sat,18/01/2020,15:00 (02:00),Away,W,1.0,0.0,MK Dons,"13,327",Max Power,3_4_3,Ben Toner,168254.0,PP,6.0,1.0,Sunderland,19880,7,90.0,0.0,0.0,,0.0,0.0,0.0,18.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jon McLaughlin,MK Dons 18/01/2020,GK
24,Matchweek 29,Fri,24/01/2020,19:45 (06:45),Home,D,0.0,0.0,Doncaster,"30,251",Max Power,3_4_3,James Adcock,168269.0,PP,8.0,1.0,Sunderland,19880,7.2,90.0,0.0,0.0,,0.0,0.0,0.0,25.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jon McLaughlin,Doncaster 24/01/2020,GK
25,Matchweek 30,Wed,29/01/2020,19:45 (06:45),Away,W,1.0,0.0,Tranmere Rovers,"6,850",Max Power,3_4_3,Anthony Coggins,168279.0,PP,7.0,1.0,Sunderland,19880,7.1,90.0,0.0,0.0,,0.0,0.0,0.0,8.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jon McLaughlin,Tranmere Rovers 29/01/2020,GK
26,Matchweek 31,Sat,01/02/2020,15:00 (02:00),Away,L,0.0,2.0,Portsmouth,"18,531",Max Power,3_4_3,Chris Sarginson,168290.0,PP,9.0,1.0,Sunderland,19880,6.4,90.0,0.0,0.0,,2.0,0.0,0.0,14.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jon McLaughlin,Portsmouth 01/02/2020,GK
27,Matchweek 32,Sat,08/02/2020,15:00 (02:00),Home,W,1.0,0.0,Ipswich Town,"32,726",Max Power,3_4_3,Jeremy Simpson,168303.0,PP,8.0,1.0,Sunderland,19880,7.2,90.0,0.0,0.0,,0.0,0.0,0.0,18.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Jon McLaughlin,Ipswich Town 08/02/2020,GK
28,Matchweek 33,Tue,11/02/2020,19:45 (06:45),Home,W,3.0,0.0,Rochdale,"27,401",Max Power,3_4_3,Graham Salisbury,168315.0,PP,7.0,1.0,Sunderland,19880,7.1,90.0,0.0,0.0,,0.0,0.0,0.0,12.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jon McLaughlin,Rochdale 11/02/2020,GK
29,Matchweek 34,Sat,15/02/2020,15:00 (02:00),Away,W,1.0,0.0,Oxford United,"9,105",Max Power,3_4_3,Kevin Johnson,168325.0,PP,7.0,1.0,Sunderland,19880,7.6,90.0,0.0,0.0,,0.0,0.0,0.0,11.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Jon McLaughlin,Oxford United 15/02/2020,GK
30,Matchweek 35,Sat,22/02/2020,15:00 (02:00),Home,W,3.0,0.0,Bristol Rovers,"31,541",Max Power,3_4_3,Ben Toner,168340.0,PP,5.0,1.0,Sunderland,19880,7.2,90.0,0.0,0.0,,0.0,0.0,0.0,12.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jon McLaughlin,Bristol Rovers 22/02/2020,GK
31,Matchweek 13,Tue,25/02/2020,19:45 (06:45),Home,D,1.0,1.0,Fleetwood Town,"28,255",Max Power,3_4_3,Scott Oldham,168077.0,PP,7.0,1.0,Sunderland,19880,6.7,90.0,0.0,0.0,,1.0,0.0,0.0,18.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jon McLaughlin,Fleetwood Town 25/02/2020,GK
32,Matchweek 2,Sat,10/08/2019,15:00 (00:00),Away,D,1.0,1.0,Ipswich Town,"24,051",Aiden McGeady,4_3_3,Neil Hair,167939.0,JR,14.0,2.0,Sunderland,19633,6.3,90.0,0.0,0.0,,0.0,0.0,0.0,27.0,0.0,60.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,Connor McLaughlin,Ipswich Town 10/08/2019,DF
