,event_id,squadnumber,team_name,player_name_x,player_id,rating,minutes_played,shotstotal,shotson,offsides,gconceded,gassists,gtotal,ptotal,pkey,paccuracy,ttotal,tblocks,tinterc,dtotal,dwon,dattempts,dsuccess,dpast,fdrawn,fcommit,red,yellow,penaltysuccess,player_name_y,Opponent
70,168007,1,Sunderland,Jon McLaughlin,19880,6.8,90,0,0,,1,0,0,19,0,42,0,0,0,0,0,0,0,1,0,0,0,0,0,Jon McLaughlin,Acc'ton Stanley
71,168007,13,Sunderland,Luke O'Nien,19911,6.5,90,1,0,,0,0,0,22,0,78,1,0,1,0,0,0,0,0,3,4,0,0,0,Luke O'Nien,Acc'ton Stanley
72,168007,5,Sunderland,Alim Öztürk,19896,6.2,90,0,0,,0,0,0,20,0,55,0,0,1,0,0,1,1,0,0,2,0,0,0,Alim √ñzt√ºrk,Acc'ton Stanley
73,168007,4,Sunderland,Jordan Willis,19992,6.7,90,0,0,,0,0,0,26,0,81,0,2,0,0,0,0,0,1,1,0,0,0,0,Jordan Willis,Acc'ton Stanley
74,168007,33,Sunderland,Denver Hume,19888,6.7,90,0,0,,0,1,0,30,1,58,1,0,0,0,0,2,2,0,1,0,0,0,0,Denver Hume,Acc'ton Stanley
75,168007,18,Sunderland,George Dobson,20436,6.6,90,2,0,,0,0,0,34,0,75,2,0,0,0,0,0,0,0,0,4,0,0,0,George Dobson,Acc'ton Stanley
76,168007,23,Sunderland,Grant Leadbitter,19904,6.5,75,0,0,,0,0,0,31,1,79,0,0,1,0,0,0,0,2,2,1,0,1,0,Grant Leadbitter,Acc'ton Stanley
77,168007,11,Sunderland,Lynden Gooch,19901,6.9,90,1,1,,0,0,1,15,1,78,0,0,1,0,0,0,0,0,1,1,0,0,0,Lynden Gooch,Acc'ton Stanley
78,168007,7,Sunderland,Chris Maguire,19916,6.8,77,2,0,,0,1,0,12,2,66,0,0,0,0,0,1,1,0,0,2,0,0,0,Chris Maguire,Acc'ton Stanley
79,168007,19,Sunderland,Aiden McGeady,19907,6.8,90,1,1,,0,0,1,24,1,80,0,0,0,0,0,2,2,0,2,1,0,0,0,Aiden McGeady,Acc'ton Stanley
80,168007,10,Sunderland,Marc McNulty,44853,7.3,82,3,1,,0,0,1,14,0,87,0,0,0,0,0,0,0,0,2,1,0,0,0,Marc McNulty,Acc'ton Stanley
